name,部位,短命,ASSASSIN HONED,BALANCED,破滅,BATTLE LUST,BERSERK,吸血,BONE BREAKER,補強不可,詠唱集中,CHAOS DAMAGE,CRAFT BONUS,CRAFT EXCEPTIONAL BONUS,CURSED,CURSE REMOVAL,物理,炎,冷気,毒,エネルギー,HP変換,HP変換(物理),HP変換(炎),HP変換(冷気),HP変換(毒),HP変換(エネルギー),手持ちダメージ,ダメージ修正,回避,DEX,DURABILITY BONUS,POT強化,CR,FC,FOCUS,炎エリア,冷気エリア,毒エリア,エネルギーエリア,命中,Curse,Dispel,STMダウン,Fireball,Harm,HPリーチ,Lightning,命中低下,回避低下,Magic Arrow,Mana Drain,MPリーチ,HP,HP回復,STMリーチ,INT,LAST PARRY CHANCE,矢弾コスト,MPコスト,秘薬コスト,装備条件,幸運,瞑想可,魔道手持ち,MP,MANA PHASE,MP回復,MASSIVE,NIGHT SIGHT,PRIZED,RANDOM PROTECTION,RANDOM KILLER,RANDOM SUMMONER,麻痺カウンター,物理ダメージ反射,REPLENISH CHARGES,物理抵抗,炎抵抗,冷気抵抗,毒抵抗,エネルギー抵抗,RESONANCE,SEARING,自己修復,SOUL CHARGE,SPARKS,詠唱可,呪文ダメージ,詠唱集中,破片残留,STM,STM回復,STR,SWARM,速度増,TOXIC WEAPON,UNWIELDY,ベスト,VELOCITY,WARD REMOVAL,重量軽減,WILDFIRE REMOVAL,耐久性,装備STR,基礎ダメージ,基礎速度,基礎重量,片手,両手,基礎スキル,射程,4G,除外,略,date,url,備考,,,,,,,,,,,,,
Staff of the Magi,手持ち,,,,,,,,,,,,,,,,,,,,100,,,,,,,50,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,255/255,35,13-16,2.75,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],,,,,,,,,,,,,
Standard of Chaos,手持ち,,,,,,,,,,,100,,,,,,,,,,,,,,,,-40,,,,,,,1,,,,,,,,,,20,30,,10,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,11-14,2.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-, Treasures of the Shattered Sanctum],,,,,,,,,,,,
Stone Dragon’s Tooth,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,10,,50,,,,,,,,,,,,,,,,,,,,,,30,40,,,,3,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,10,,,,,,,,,,10-12,2,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-, Draconic Awakening,CHIVALRY +15,NECROMANCY – 30,REACTIVE HOLY LIGHT 10%],,,,,,,,,
Stone Slith Claw,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,13-17,3.25,,,,,8,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[DEMON SLAYER],SPELL CONSUMPTION: 1],,,,,,,,,,,,
Storm Caller,手持ち,,,,,*,,,,,,,,,,,20,20,20,20,20,,,,,,,40,,,,,,,,,,,,,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,30,,,,,,,,,,11-15,2.75,,,,,6,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-, the Archlich,SHARD BOUND],,,,,,,,,,,
Sword of Shattered Hopes,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,20,,,,,30,,,,,,,,,,11-15,2.75,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,SHARD BOUND],,,,,,,,,,,,
Sword of the Stampede,手持ち,,,,,,,,,,,,,,,,,,100,,,,,,,,,60,,,,,,,,,,,,,10,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,40,16-19,3.5,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-, Treasures of the Shattered Sanctum,BONE GLOVES],,,,,,,,,,,
Swords of Prosperity,手持ち,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,0,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,255/255,40,13-16,2.75,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-, Draconic Awakening,CHIVALRY +15,NECROMANCY – 30,REACTIVE HOLY LIGHT 10%],,,,,,,,,
Talon Bite,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,*,,,,,255/255,45,17-20,3.75,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[TACTICS +10],FEY SLAYER,SPELL 64],,,,,,,,,,,
The Beserker’s Maul,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,255/255,45,14-18,3.5,,*,,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],ARTIFACT RARITY 11],,,,,,,,,,,,
The Deceiver,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,75,,,,,,,,,,,,75,,,,,,,,,20,20,,,,,,30,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,255/255,40,16–19,3.5,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,-,SHARD BOUND],,,,,,,,,,,,
The Destroyer,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,,,,,,,,,,,10,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,255/255,40,16-19,3.5,,,*,SWORDSMANSHIP,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,SHARD BOUND],,,,,,,,,,,,
The Dragon Slayer,手持ち,,,,,,,,,,,,,,,,,,,,100,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,*,,,,,255/255,95,18-22,4.25,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11,TERATHAN SLAYER PLUS RANDOM PROPERTIES],,,,,,,,,,,,
The Dryad Bow,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,,,,,,,,,,50,,,,,,,,255/255,30,17-21,4.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[RANDOM SKILL +5 OR +10,FEY SLAYER],,,,,,,,,,,,
The Horselord,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,35,13-17,3.25,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[ELEMENTAL SLAYER,,,,,,,,,,,,,
The Impaler’s Pick,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,40,,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,13-17,3.25,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[REPOND SLAYER],RESISTING SPELLS 10,MEDITATION +10,MAGERY NECROMANCY BUSHIDO CHIVALRY NINJITSU OR MYSTICISM +20,(SKILL CAN BE SELECTED BY THE PLAYER)],,,,,,,,,
The Taskmaster,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,,,50,,,5,,,,,,,,100,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,45,10-14,2.5,,*,,FENCING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 10],HUMAN WEIGHT 3 STONES, GARGOYLE 2 STONES,SHARD BOUND],,,,,,,,,,
Tome of Enlightenment,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,PREFIXED WITH PLAYER’S NAME,COMMON AND RARE HUES],,,,,,,,,,,
Tome of Lost Knowledge,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[MAGERY +15],BLESSED,REPOND SLAYER,SHARDBOUND,SPELLS 64],,,,,,,,,
Valkyrie’s Glaive,手持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,5,,20,,,,,,,,,,16-20,4,,,,,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[UNDEAD SLAYER],ICE SLAYER,GIANT ICE WORM SUMMONER],,,,,,,,,,,
Vampiric Essence,手持ち,,,,,,,*,,,,,,,,,,,100,,,,,,,,,50,,,,,,,,,,,,,,,,,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,11-13,2.5,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-, the Arch Lich,SHARD BOUND],,,,,,,,,,,
Wildfire Bow,手持ち,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,15,,,,255/255,45,15-19,3.75,,,*,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[ARCHERY +10],,,,,,,,,,,,,
Wind’s Edge,手持ち,,,,,,,,,,,,,,,,,,,,100,,,,,,,50,,10,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,255/255,10,10-13,2,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-, Treasures of the Shattered Sanctum,RESISTING SPELLS +10],,,,,,,,,,,
Windsong,手持ち,,,,,,,,,,,,,,,,100,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,25,,,,255/255,45,12-16,3,,,,ARCHERY,10,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-, Shrouded Sails],,,,,,,,,,,,
Wrath Of The Dryad,手持ち,,,,,,,,,,,,,,,,,,,100,,,,,,,,40,,,,,,,,,,,,,15,,,,,,,33,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255/255,20,15-18,3.25,,,*,MACE FIGHTING,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,,,,,,,,,,,,,
Jackal’s Collar,首,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,23,17,3,2,,,,,,,,,,,,,,,,,,,,,,255/255,45,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11], The Undead Lords, The Archlich,CADDELLITE INFUSED,ALL RESISTS 15%,METEOR BREATH CHARGES: 1,CAN CAST “METEOR SWARM” WHEN USED,INTERRUPTABLE,MANA REAGENT & SKILL CHECK FREE,MINUTE RECHARGE TIME WHEN WORN RESET WHEN UNEQUIPPED 5],,,,
Lavaliere,首,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Leurocian’s Mempo of Fortune,首,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,1,,,,,,,,,,15,10,10,10,15,,,,,,,,,,,,,,,,,,,,,,255/255,30,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,BLESSED,UNDEAD SLAYER,SHARD BOUND,SPELLS 64],,,,,,,,,
Torc of the Guardians,首,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,2,,,,,,,,,,5,5,5,5,5,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,BLESSED,SHARD BOUND,SPELLS 64],,,,,,,,,,
Voice of the Fallen King,首,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,4,18,3,18,,,,,,,,,,,3,8,,,,,,,,,,255/255,20,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11], Treasures of the Feudal Lands,ALCHEMY +10],,,,,,,,,,,
Ægis,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,15,,15,1,,,,,,5,,,,,,,,,,,,,,,,,,,255/255,90,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],,,,,,,,,,,,,
Arcane Shield,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,1,,,,,,*,,,,,,,,,,,,,,,,255/255,20,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],AVAILABLE IN FOUR ELEMENTAL TYPES (AIR WATER EARTH FIRE),ELEMENTAL DAMAGE AIR = ENERGY 100%,WATER = COLD,EARTH = PHYSICAL,FIRE = FIRE,HIT SPELL 70%,AIR/EARTH = HIT LIGHTNING,WATER = HIT HARM,FIRE = HIT FIREBALL],,,,
Boura Tail Shield,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,10,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,AVAILABLE IN FOUR ELEMENTAL TYPES (AIR WATER EARTH FIRE),ELEMENTAL DAMAGE 100%,AIR = ENERGY,WATER = COLD,EARTH = PHYSICAL,FIRE = FIRE,HIT AREA SPELL 70%,AIR= ENERGY,WATER = COLD,EARTH = PHYSICAL,FIRE = FIRE],,
Defender of the Magus,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[(MATCHES RESONANCE TYPE) RESIST 10%],AVAILABLE IN FOUR ELEMENTAL TYPES (AIR WATER EARTH FIRE),EATER AND 20% RESIST (MATCHING) 20%,AIR = ENERGY,WATER = COLD,EARTH = PHYSICAL/KINETIC,FIRE = FIRE,CHIVALRY + 10,PARRY +10,REACTIVE CLOSE WOUNDS 30%,CHANCE TO ACTIVATE UPON A SUCCESSFUL,ARRY,POTENCY IS BASED ON WIELDER’S CHIVALRY,KILL]
Dragon Hide Shield,盾,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,15,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Mystic’s Guard,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,,,30,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Pillar of Strength,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,,,,,,,,,,,,,
Shield Of Invulnerability,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,10,,8,,,,,,,,,,*,,,,,,,,,,,,,,,,255/255,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,COMMON AND RARE HUES],,,,,,,,,,,,
Sign of Chaos,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,SHARD BOUND],,,,,,,,,,,,
Sign of Order,盾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,[CHIVALRY +10],,,,,,,,,,,,,
Surge Shield,盾,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,75/75,35,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/,[USES: 50,BLESSED,SPELLS 64,SHARD BOUND],,,,,,,,,,
Wall of Hungry Mouths,盾,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,AMMO: 0/500 ARROWS,SHARD BOUND,CONTENTS: 0/1 ITEMS 0/50 STONES],,,,,,,,,,
Crimson Cincture,下半身L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-mondains-legacy-peerless/,-,SHARD BOUND],,,,,,,,,,,,
Tangle,下半身L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,FOUR VERSIONS:,GARGISH KATANA LONGSWORD WAR AXE LEAFBLADE,REPTILE SLAYER,SHARD BOUND],,,,,,,,,
Animated Legs of the Insane Tinker,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,17,15,7,15,2,,,,,,,,,,,2,,,10,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,FOUR VERSIONS:,GARGISH DISC MACE GARGISH TALWAR LAJATANG DOUBLE AXE,REPTILE SLAYER,SHARD BOUND],,,,,,,,,
Enchanted Kelp Woven Leggings,下半身L1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,15,,,,,8,,2,,,,,,,,,,5,13,12,8,14,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-sunken/,-,SHARD BOUND],,,,,,,,,,,,
Fey Leggings,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,*,,,,,,,,,,,,,,12,8,7,4,19,,,,,,,,,,,,,,,,,,,,,,255/255,60,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,-,case human,MAGICAL SHORT BOW,REPTILE SLAYER,SHARD BOUND],,,,,,,,,
Giant Steps,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,10,18,4,8,12,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-stygian-abyss/,-,BLESSED,SHARD BOUND,SPELLS 64],,,,,,,,,,
Leggings of Bane,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,36,2,,,,,,,,,,8,,,,,,,,,,,,255/255,60,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[ARTIFACT RARITY 11],INCREASED KARMA LOSS 6%],,,,,,,,,,,,
Legs of Stability,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,*,,,,,,,,,,,,,,20,3,2,18,2,,,3,,,,,,,5,,,,,,,,,,,,255/255,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,-,SWORD BELT,NECROMANCY +5],,,,,,,,,,,
Shadow Dancer Leggings,下半身L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,3,18,18,,,,,,,,,,,,,,,,,,,,,,255/255,20,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/,[STEALING +20,DEMON SLAYER,UNDEAD SLAYER],,,,,,,,,,,
Ancient Urn,他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[EXCEPTION],MAGERY +5,EVALUATE INTELLIGENCE +5,REACTIVE PARALYSE,SHARD BOUND],,,,,,,,,
Candelabra of Souls,他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-minor/,[], Draconic Awakening,MANA ICREASE 8],,,,,,,,,,,
Chest of Heirlooms,他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-treasure-of-tokuno/,[EXCEPTION],MANA ICREASE 8],,,,,,,,,,,,
Coffin (one of three pieces),他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-buried/,[],,,,,,,,,,,,,
